text,label
"Glas auf dem Radweg bei der Kreuzung","Hindernis"
"Scherben liegen auf dem Radweg","Hindernis"
"Ein Ast blockiert den Radweg","Hindernis"
"Steine am Weg, man rutscht leicht","Hindernis"
"Schlagloch direkt auf der Radspur","Hindernis"
"Obstacle on the bike lane","Hindernis"
"Broken glass on the cycle path","Hindernis"
"Debris and stones on the road","Hindernis"
"A branch is blocking the path","Hindernis"
"Pothole on the bike lane","Hindernis"

"Radwegmarkierung ist kaum sichtbar","Infrastrukturproblem"
"Der Radweg endet plötzlich ohne Hinweis","Infrastrukturproblem"
"Baustelle blockiert die Radspur ohne Umleitung","Infrastrukturproblem"
"Straße ist sehr uneben, viele Risse","Infrastrukturproblem"
"Beschilderung für Radfahrer fehlt","Infrastrukturproblem"
"Infrastructure issue on the cycle lane","Infrastrukturproblem"
"Bike lane markings are missing","Infrastrukturproblem"
"Construction blocks the lane without detour","Infrastrukturproblem"
"Road surface is damaged and uneven","Infrastrukturproblem"
"Missing sign for cyclists","Infrastrukturproblem"

"Beinahe-Unfall: Auto hat mich geschnitten","Gefahrenstelle"
"An der Kreuzung ist es sehr unübersichtlich","Gefahrenstelle"
"Auto überholt viel zu knapp","Gefahrenstelle"
"Bus hat mich fast angefahren","Gefahrenstelle"
"Gefährliche Stelle: schlechte Sicht beim Abbiegen","Gefahrenstelle"
"Near miss with a car turning right","Gefahrenstelle"
"Almost hit at the intersection","Gefahrenstelle"
"Close pass by a vehicle","Gefahrenstelle"
"Dangerous crossing, poor visibility","Gefahrenstelle"
"Almost crashed because a car cut me off","Gefahrenstelle"

"Danke, der neue Radweg ist super","Positives Feedback"
"Sehr gute Markierungen, fühlt sich sicher an","Positives Feedback"
"Top! Endlich ist die Baustelle weg","Positives Feedback"
"Radweg wurde verbessert, danke","Positives Feedback"
"Super Beleuchtung, man sieht viel besser","Positives Feedback"
"Great improvement, the bike lane is much better now","Positives Feedback"
"Thanks, the path feels safer","Positives Feedback"
"Nice markings and smooth surface","Positives Feedback"
"Good job fixing the road","Positives Feedback"
"Love the new cycle lane","Positives Feedback"

"Buy now free promo http://spam.com","Spam"
"www.super-deal.com limited offer","Spam"
"Click here to win money","Spam"
"FREE coupon for you!!!","Spam"
"Visit http://example.com for promo","Spam"
"Get rich fast buy now","Spam"
"Cheap products, best price www.shop.com","Spam"
"Promo code inside, click now","Spam"
"Follow my channel and buy","Spam"
"Limited offer!!! http link","Spam"
